City,Latitude,Longitude
Copenhagen,55.6761,12.5683
Aarhus,56.1629,10.2039
Odense,55.4038,10.4024
Helsinki,60.1695,24.9354
Espoo,60.2055,24.6559
Tampere,61.4991,23.7871
Vantaa,60.2941,25.04
Oulu,65.0121,25.4651
Rovaniemi,66.5039,25.7294
Turku,60.4518,22.2666
Stockholm,59.3293,18.0686
Gothenburg,57.7089,11.9746
Malmö,55.6049,13.0038
Uppsala,59.8586,17.6389
Västerås,59.6099,16.5448
Örebro,59.2753,15.2134
Linköping,58.4108,15.6214
Jönköping,57.7815,14.1562
Umeå,63.8258,20.263
Östersund,63.1792,14.6357
Arjeplog,66.0515,17.8863
Luleå,65.5848,22.1544
Kiruna,67.8558,20.2253
Oslo,59.9139,10.7522
Bergen,60.3913,5.3221
Stavanger,58.969,5.7331
Trondheim,63.4305,10.3951
Drammen,59.7439,10.2045
Fredrikstad,59.218,10.9298
Kristiansand,58.1467,7.9956
Tromsø,69.6496,18.956
Tønsberg,59.2675,10.4074
Hamar,60.7945,11.067
Mo,66.3128,14.142
Bodø,67.2804,14.4049
Harstad,68.7986,16.5415
Narvik,68.4385,17.427
Alta,69.9689,23.2716
Kirkenes,69.7271,30.0454
Longyearbyen,78.2232,15.6267
